#,idaffaire,countt,nbacte
1,11013,14,64
2,11786,33,36
3,11790,88,90
4,11812,71,72
5,11829,69,71
6,12227,93,94
7,12454,208,104
8,12551,92,94
9,12570,88,90
10,12598,92,94
11,12756,110,112
12,12955,46,67
13,13029,114,116
14,13118,52,64
15,16490,57,58
16,16713,128,64
17,17160,256,128
18,17326,103,104
19,17364,123,125
20,17516,76,77
21,17522,49,50
22,18471,112,114
23,18948,208,104
24,19819,202,101
25,20288,64,77
26,21247,63,69
27,21748,131,132
28,21751,130,131
29,21758,66,67
30,21770,27,29
31,21775,128,130
32,21806,129,130
33,21809,32,33
34,21816,128,129
35,21818,128,132
36,21828,128,129
37,21842,129,131
38,21904,33,35
39,21908,58,60
40,21910,68,84
41,21916,66,84
42,21917,67,68
43,21918,69,71
44,21919,66,67
45,21939,64,68
46,22093,102,108
47,22921,158,79
48,22936,160,80
49,22938,138,69
50,22956,122,61
51,22960,132,66
52,23384,75,128
53,25366,105,111
54,25431,66,68
55,25432,79,81
56,25450,126,129
57,25481,126,128
58,25501,127,128
59,25506,128,130
60,25512,133,134
61,25518,88,90
62,25830,99,100
63,25852,84,86
64,32196,66,67
65,32229,111,113
66,32239,125,129
67,37270,64,32
68,37280,128,64
69,37497,258,129
70,37502,224,112
71,37504,232,116
72,37537,126,63
73,37571,40,20
74,37588,128,64
75,38256,256,128
76,38258,256,128
77,38269,128,64
78,38322,120,60
79,38335,126,63
80,38337,128,64
81,38341,254,127
82,38342,128,64
83,38345,256,128
84,38347,256,128
85,40781,216,108
86,40936,100,50
87,40945,226,113
88,40957,174,87
89,40973,114,57
90,40979,232,116
91,41043,26,13
92,41084,244,122
93,41086,252,126
94,41089,152,76
95,41091,150,75
96,41095,268,134
